Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
5ème [cinquième] set,"Reynaud, Quentin",Quentin Reynaud ...,2195032,DVD CIN,"Autrefois qualifié de jeune prodige du tennis pro, Thomas n'a jamais eu la carrière qu'il espérait. Alors que tous lui déconseillent et que son corps commence à le trahir, il décide d'effectuer son retour à Roland Garros. Sorti par miracle des qualifications, il fait son grand retour sur le court central face au jeune espoir du tennis français...",Drame
'71,"Demange, Yann (1976 - ...)",Yann Demange ...,2138054,DVD SOI,"Belfast, 1971. Tandis que le conflit dégénère en guerre civile, Gary, jeune recrue anglaise, est envoyé sur le front. La ville est dans une situation confuse, divisée entre protestants et catholiques. Lors d'une patrouille dans un quartier en résistance, son unité est prise en embuscade. Gary se retrouve seul, pris au piège en territoire ennemi. Il va devoir se battre jusqu'au bout pour essayer de revenir sain et sauf à sa base.",Film de guerre
7e [septième] ciel,"Dresen, Andreas",Andreas Dresen ...,2097146,DVD SEP,"Inge, la soixantaine, mariée depuis trente ans, tombe folle amoureuse de Karl, 76 ans. Un film d'une grande justesse sur la relation amoureuse, très souvent émouvant et ponctué de moments drôles.",Comédie
8 1/2,"Fellini, Federico (1920 - 1993)",Federico Fellini ...,2197766,DVD HUI,"Un cinéaste cherche un sujet de film. Au hasard de ses rencontres, il commence à douter de son sujet, de son talent et même de l'utilité de faire un film. Il s'évade parfois en rêve et décide finalement d'annuler son projet. C'est alors qu'il reconnaît tous les gens dont il a rêvé. Il sait qu'il a enfin trouvé son sujet. Fellini livre avec impudeur ses angoisses et ses incertitudes de créateur, ses fantasmes oedipiens, sa solitude et ses frustrations sexuelles. Frederico Fellini, réalisateur des incontournables I Vitelloni, La Strada, La Dolce Vita, signe avec 8 1/2 son film le plus personnel, avec son double cinématographique : Marcello Mastroianni.",Drame
90´s [nineteen],"Hill, Jonah",Jonah Hill ...,2171833,DVD NIN,"Dans le Los Angeles des années 90, Stevie, 13 ans, a du mal à trouver sa place entre sa mère souvent absente et un grand frère caractériel. Quand une bande de skateurs le prend sous son aile, il se prépare à passer l'été de sa vie...",Drame
99 Homes,"Bahrani, Ramin (1975 - ...)",Ramin Bahrani ...,2142025,DVD NIN,"Rick Carver, homme d'affaires à la fois impitoyable et charismatique, fait fortune dans la saisie de biens immobiliers. Lorsqu'il met à la porte Dennis Nash, père célibataire vivant avec sa mère et son fils, il lui propose un marché. Pour récupérer sa maison, sur les ordres de Carver, Dennis doit à son tour expulser des familles entières de chez elles... Une fable de la crise, qui montre la fracture sociale aux Etats-Unis comme on l'a finalement peu vue.",Policier et espionnage
A Chiara,"Carpignano, Jonas (1984 - ...)",Jonas Carpignano ...,2197046,DVD ACH,"Chiara, 16 ans, vit dans une petite ville de Calabre, entourée de toute sa famille. Pour les 18 ans de sa soeur, une grande fête est organisée et tout le clan se réunit. Le lendemain, Claudio, son père, part sans laisser de traces. Elle décide alors de mener l'enquête pour le retrouver. Mais plus elle s'approche de la vérité qui entoure le mystère de cette disparition, plus son propre destin se dessine.",Policier et espionnage
A ciambra,"Carpignano, Jonas (1984 - ...)","Jonas Carpignano, Dan Romer ...",2158091,DVD ACI,"Pio a 14 ans et veut grandir vite. Comme son grand frère Cosimo, il boit, fume et apprend l'art des petites arnaques de la rue. Et le jour où Cosimo n'est plus en mesure de veiller sur la famille, Pio va devoir prendre sa place. Mais ce rôle trop lourd pour lui va vite le dépasser et le mettre face à un choix déchirant.",Policier et espionnage
A coeur battant,"Ben Rafael, Keren",Keren Ben Rafael ...,2188487,DVD ACO,"Julie et Yuval s'aiment et vivent à Paris. Du jour au lendemain, ce couple fusionnel doit faire face à une séparation forcée. Lui à Tel Aviv, dans sa ville natale, elle à Paris avec leur bébé, ils continuent à vivre ensemble mais par écrans interposés. Cette vie par procuration va vite connaître ses limites. La distance mettra leur amour à rude épreuve...",Fantasy / Merveilleux
A ghost story,"Lowery, David (1980 - ...)",David Lowery ...,2171054,DVD GHO,"Apparaissant sous un drap blanc, le fantôme d'un homme rend visite à sa femme en deuil dans la maison de banlieue qu'ils partageaient encore récemment, pour y découvrir que dans ce nouvel état spectral, le temps n'a plus d'emprise sur lui. Condamné à ne plus être que simple spectateur de la vie qui fut la sienne, avec la femme qu'il aime, et qui toutes deux lui échappent inéluctablement, le fantôme se laisse entraîner dans un voyage à travers le temps et la mémoire, en proie aux ineffables questionnements de l'existence et à son incommensurabilité. Prix du jury, Prix de la critique internationale et Prix de la révélation au Festival du cinéma américain de Deauville, France, 2017",Fantastique
A Good man,"Mention-Schaar, Marie-Castille",Marie-Castille Mention-Schaar ...,2185191,DVD GOO,Aude et Benjamin s'aiment et vivent ensemble depuis six ans. Aude souffre de ne pas pouvoir avoir d'enfant alors Benjamin décide que c'est lui qui le portera.,Drame
A la poursuite du diamant vert,"Zemeckis, Robert",Robert Zemeckis ...,2084224,DVDJ ALA,"Une romancière se transforme en aventurière afin de sauver sa soeur... Un film d'aventure exotique plein de brio et d'humour... Chapitrage, bande-annonce.",Action
A l'heure des souvenirs,"Batra, Ritesh (1979 - 20..)",Ritesh Batra ...,2169778,DVD HEU,"Dans son magasin de photographie de Londres, Tony Webster mène une existence tranquille. Sa vie est bousculée lorsque la mère de Veronica Ford, son premier amour, lui fait un étonnant legs : le journal intime d'Adrian Finn, son meilleur ami du lycée. Replongé dans le passé, Tony va être confronté aux secrets les plus enfouis de sa jeunesse. Les souvenirs sont-ils le pur reflet de la réalité ou autant d'histoires que nous nous sommes racontées ? En bonus : Entretien avec Ritesh Batra et l'équipe du film.","Romance, sentimental"
A mon âge je me cache encore pour fumer,Rayhana (1964 - ...),Rayhana ...,2157635,DVD AMO,"Au coeur du hammam loin du regard accusateur des hommes, mères, amantes, vierges ou exaltées islamistes, des fesses et des foulards de Dieu se confrontent, s'interpellent entre fous rires, pleurs et colères, Bible et Coran... avant le sifflement d'un poignard et le silence de Dieu. En bonus : Quand le hammam dévoile ses dessous, La Burqa pour les nulles.",Drame
A nos enfants,"Medeiros, Maria de (1965 - ...)",Maria de Medeiros ...,2185653,DVD ANO,"Vera, qui a combattu la dictature dans les années 70, s'occupe aujourd'hui à Rio d'un orphelinat pour enfants séropositifs. Sa fille, Tania, essaye depuis plusieurs mois, avec sa compagne, Vanessa, d'avoir un enfant par PMA. Entre elles deux, un fossé s'est creusé...",Action
A pas de loup,"Ringer, Olivier",Olivier Ringer ...,2117252,DVDJ APA,"Une petite fille, persuadée d'être invisible aux yeux de ses parents, décide de disparaître. Une aventure extraordinaire commence alors. Un joli conte initiatique sur les peurs de l'enfance.",Aventure
A peine j'ouvre les yeux,"Bouzid, Leyla (1984 - ...)",Leyla Bouzid ...,2141128,DVD APE,"Mais elle ne voit pas les choses de la même manière. Elle chante au sein d'un groupe de rock engagé. Elle vibre, s'enivre, découvre l'amour et sa ville de nuit contre la volonté d'Hayet, sa mère qui connaît la Tunisie et ses interdits.","Romance, sentimental"
A perdre la raison,"Lafosse, Joachim",Joachim Lafosse ...,2123870,DVD APE,"Malgré l'amour de son mari, Mounir, Murielle, jeune maman, souffre de plus en plus de l'emprise du père ""adoptif"" de Mounir. Mise en scène implacable, interprétation impeccable, tension psychologique extrême.",Thriller
A Perfect Day : un jour comme un autre,"Leon de Aranoa, Fernando",Fernando Leon de Aranoa ...,2142534,DVD APE,"Sophie, une jeune Française, vient d'arriver dans un pays d'Europe de l'Est en pleine guerre. Elle rejoint un groupe d'humanitaires, parmi lesquels Mambru, un homme désabusé qui ne souhaite qu'une chose, rentrer chez lui. Un autre, surnommé B, est l'élément le plus surprenant de la bande, prenant parfois des décisions déconcertantes. Dans le groupe, il y a également Katya, une ancienne maîtresse de Mambru. Damir est leur interprète, et bientôt, tous croisent le chemin d'un jeune garçon, Nikola. Leur travail se complique quand ils apprennent que le cadavre d'un homme, coincé dans un puits, pollue l'unique source d'eau potable des environs...",Film de guerre
A plein temps,"Gravel, Eric",Eric Gravel ...,2197230,DVD APL,"Julie se démène seule pour élever ses deux enfants à la campagne et garder son travail dans un palace parisien. Quand elle obtient enfin un entretien pour un poste correspondant à ses aspirations, une grève générale éclate, paralysant les transports. C'est tout le fragile équilibre de Julie qui vacille. Elle va alors se lancer dans une course effrénée, au risque de sombrer.",Drame
A Serious Game,"August, Pernilla",Pernilla August ...,2157919,DVD SER,"Dans la Suède du début du XXe siècle, Arvid Stjärnblom, un jeune journaliste, et Lydia Stille, fille d'un artiste peintre, tombent éperdument amoureux. Mais leur idéal d'une passion pure et inconditionnelle se heurte à la réalité de l'époque ; désargentés et effrayés par l'avenir, ils épousent finalement, l'un comme l'autre, un parti plus fortuné. Des années plus tard, alors que chacun a fondé un foyer, ils se retrouvent. Déchirés entre famille et passion, ils devront dès lors assumer leur choix et en payer le prix...",Historique
A star is born,"Cooper, Bradley (1975 - ...)",Bradley Cooper ...,2171195,DVD STA,"Star de country un peu oubliée, Jackson Maine découvre Ally, une jeune chanteuse très prometteuse. Tandis qu'ils tombent follement amoureux l'un de l'autre, Jack propulse Ally sur le devant de la scène et fait d'elle une artiste adulée par le public. Bientôt éclipsé par le succès de la jeune femme, il vit de plus en plus de mal son propre déclin...En bonus : Clips : ""Shallow"" et ""Always remember us this way"". Golden Globe de la meilleure chanson originale, Etats-Unis, 2019, BAFTA Award de la meilleure musique, Grande-Bretagne, 2019, Oscar de la meilleure chanson originale, Etats-Unis, 2019","Romance, sentimental"
A Touch of Sin,"Zhang-ke, Jia",Jia Zhang-ke ...,2131269,DVD TOU,"Dahai, mineur exaspéré par la corruption des dirigeants de son village, décide de passer à l'action. San'er, un travailleur migrant, découvre les infinies possibilités offertes par son arme à feu. Xiao Yu, hôtesse d'accueil dans un sauna, est poussée à bout par le harcèlement d'un riche client. Xiao Hui passe d'un travail à un autre dans des conditions de plus en plus dégradantes. Une fresque violente, un pamphlet puissant, une mise en scène au cordeau.",Action
Abbas Kiarostami - Trilogie de Koker : Où est la maison de mon ami ? / Et la vie continue / Au travers des oliviers,"Kiarostami, Abbas (1940 - 2016)",Abbas Kiarostami,2185666,DVD OUE,,Drame
Abou Leila,"Sidi-Boumédiène, Amin",Amin Sidi-Boumédiène ...,2188957,DVD ABO,"Algérie, 1994. S. et Lotfi, deux amis d'enfance, traversent le désert à la recherche d'Abou Leila, un dangereux criminel. La quête semble absurde dans l'immensité du Sahara. Mais S., dont la santé mentale est vacillante, est convaincu d'y trouver Abou Leila. Lotfi, lui, n'a qu'une idée en tête : éloigner S. de la capitale. C'est en s'enfonçant dans le désert qu'ils vont se confronter à leur propre violence. En bonus : Entretien avec Amin Sidi-Boumédiène, entretien avec Lyes Salem. ""Un sens affûté du cadre et de l'espace, ainsi que la symphonie de bruits angoissants que tresse la bande-son contribuent à l'incroyable intensité de ces glissements dans le domaine du rêve."" Le Monde - Mathieu Macheret ""Paranoïa exacerbée et folie meurtrière : une traque dans le désert comme métaphore de la guerre civile algérienne, dans un premier film à la maîtrise impressionnante."" Les Inrockuptibles - Bruno Deruisseau ""Fragmentation et substitution empêchent tout réel de se constituer en une réalité consistante et digne de foi. Aucune continuité ne s'impose. Aucun appui n'est sûr. Cela résume à la fois une situation politique cruelle et la réussite de la mise en scène."" Positif - Alain Masson ""En Algérie, deux amis d'enfance remontent la trace d'un terroriste : une errance dangereuse et fascinante, aux confins de la barbarie et de la mort."" Télérama - Frédéric Strauss",Film de guerre
Abracadabra,"Berger, Pablo (1963 - 20..)",Pablo Berger ...,2158815,DVD ABR,"Carmen est résignée : son mari Carlos cumule tous les travers du parfait macho madrilène, et il l'assume. Mais tout change le jour où, après une séance d'hypnose qui tourne mal, il se métamorphose en mari idéal, tendre et attentionné... Carmen est conquise, mais très vite, un doute l'assaille : est-elle en droit de profiter de cette parenthèse inattendue, aux côtés d'un mari qui n'est plus vraiment lui-même ? En bonus : Entretien exclusif avec le réalisateur, making of.",Drame
Accatone,"Pasolini, Pier Paolo (1922 - 1975)","Pier Paolo Pasolini, réal.",2177995,DVD ACC,"Dans la banlieue romaine, Vittorio Accatone Cataldi, un petit souteneur, perd son gagne-pain quand Maddalena est arrêtée par la police. Il entreprend alors de séduire la pure et naïve Stella avant de l'envoyer sur le trottoir. Mais cette rencontre va bouleverser sa vie au-delà de tout ce qu'il imaginait. En bonus : Notes de production, Pasolini langage et engagement : entretien avec Bernhard Rüdiger (artiste/plasticien), bandes-annonces de la collection.",Policier et espionnage
Adam,"Touzani, Maryam (1980 - ...)",Maryam Touzani ...,2177864,DVD ADA,"Dans la Médina de Casablanca, Abla, veuve et mère d'une fillette de 8 ans, tient un magasin de pâtisseries marocaines. Quand Samia, une jeune femme enceinte, frappe à sa porte, Abla est loin d'imaginer que sa vie changera à jamais. Une rencontre fortuite du destin, deux femmes en fuite, et un chemin vers l'essentiel. En bonus : Entretien avec la réalisatrice. ""Touzani livre son premier somptueux long métrage. [...] Il fallait que ce film soit fait, si beau qu'il en devient nécessaire."" Les Inrockuptibles - Emily Barnett ""Au Maroc, une mère célibataire trouve refuge chez une veuve revêche. Et bouleverse son foyer. Un beau face-à-face, entre dureté et sensualité."" Télérama - Guillemette Odicino ""[...] un récit engagé et délicat qui vaut autant pour ses qualités d'écriture que pour l'interprétation bouleversante de ses comédiennes."" Le Journal du Dimanche - Baptiste Thion",Expérimental
Adieu Gary,"Amaouche, Nassim (1977 - ...)",Nassim Amaouche ...,2108786,DVD ADI,"Le portrait d'un petit groupe d'habitants d'une cité ouvrière moribonde. Un premier film plein d'humanité, chronique originale et subtile, jouant habilement avec les codes du western.",Western
Adieu Mandalay,Midi Z (1982 - ...),Midi Z ...,2169942,DVD ADI,"Liangqing et Guo, deux jeunes birmans, émigrent clandestinement en Thaïlande. Tandis que Liangqing trouve un emploi de plonge dans un restaurant de Bangkok, Guo est embauché dans une usine textile. Sans papiers, leur quotidien est plus que précaire et le jeune couple ne partage pas les mêmes ambitions : si Guo veut gagner assez d'argent pour retourner en Birmanie, Liangqing est prête à tout pour obtenir un visa de travail et échapper à sa condition.Licorne d'Or - Grand prix du long métrage au Festival international du film d'Amiens, France, 2016. En bonus : interview du réalisateur.",Drame
Adieu monsieur Haffmann,"Cavayé, Fred (1967 - ...)",Fred Cavayé ...,2185392,DVD ADI,"Paris, 1941. François Mercier est un homme ordinaire qui n'aspire qu'à fonder une famille avec la femme qu'il aime, Blanche. Il est aussi l'employé d'un joaillier talentueux, M. Haffmann. Mais face à l'occupation allemande, les deux hommes n'auront d'autre choix que de conclure un accord dont les conséquences, au fil des mois, bouleverseront le destin de nos trois personnages.",Drame
ADN,"Le Besco, Maïwenn (1976 - ...)",Maïwenn Le Besco ...,2195031,DVD ADN,"Neige, divorcée et mère de trois enfants, rend régulièrement visite à Emir, son grand-père algérien qui vit désormais en maison de retraite. Elle adore et admire ce pilier de la famille, qui l'a élevée et surtout protégée de la toxicité de ses parents. Les rapports entre les nombreux membres de la famille sont compliqués et les rancoeurs nombreuses... Heureusement Neige peut compter sur le soutien et l'humour de François, son ex. La mort du grand-père va déclencher une tempête familiale et une profonde crise identitaire chez Neige. Dès lors elle va vouloir comprendre et connître son ADN. ""Pour son cinquième long-métrage comme réalisatrice, Maïwenn explore liens du sang et liens du coeur. Et livre un beau grand film sur la transmission. Un film entre drame et comédie, qui palpite."" Bande à part - Isabelle Danel ""Si l'on se reconnaît dans ce film débordant de vie, de rage et d'amour, c'est aussi parce que Maïwenn a l'art de rester dans le vrai, demandant à ses acteurs, à qui elle donne toute la place, d'amener sur le plateau moins un personnage que ce qu'ils sont dans la vie."" Dernières Nouvelles d'Alsace - Nathalie Chifflet ""L'actrice et réalisatrice, servie par une trés bonne troupe d'interprètes, poursuit l'écriture de son théâtre intime sur un ton plus subtil."" Le Monde - Jacques Mandelbaum ""Pour sa cinquième réalisation, Maïwenn convoque ses thèmes de prédilection et livre une oeuvre intime et sensible autour du deuil et de l'identité. Moins puissant que ses films précédents mais indéniablement émouvant, ""ADN"" est une jolie réussite."" Les Fiches du Cinéma - Amélie Leray",Fantasy / Merveilleux
Adults in the room,"Costa-gavras, Constantin",Constantin Costa-gavras ...,2177595,DVD ADU,"Après sept années de crise la Grèce est au bord du gouffre. Des élections, un souffle nouveau et deux hommes qui vont incarner l'espoir de sauver leur pays de l'emprise qu'il subit. Nommé par Alexis, Yanis va mener un combat sans merci dans les coulisses occultes et entre les portes closes du pouvoir européen. Là où l'arbitraire de l'austérité imposée prime sur l'humanité et la compassion. Là où vont se mettre en place des moyens de pression pour diviser les deux hommes. Là où se joue la destinée de leur peuple. Une tragédie grecque des temps modernes d'après les mémoires du politicien Yanis Varoufakis ""Après avoir vilipendé le régime des colonels grecs dans son troisième film, ""Z"" (1969), Costa-Gavras se penche à nouveau sur le dernier désastre, cette fois socio-économique, qui frappe son pays d'origine. ""Adults in the room"" est un réquisitoire cinglant contre l'obstination légaliste de l'Union européenne dans son refus de reconsidérer le surendettement de la Grèce. Une réussite totale, qui tient de la gageure : comment transformer en un suspense haletant une situation conflictuelle aussi complexe ? Costa-Gavras nous offre un exploit de narration cinématographique."" Bande à part - Michel Cieutat ""Sans jamais simplifier ni amoindrir les enjeux de son sujet, Costa-Gavras livre un de ses meilleurs films, une attaque frontale contre la politique européenne et sa logique de prédation libérale. Passionnant, malgré quelques carences dramaturgiques dans un dernier acte un peu précipité."" Ecran Large - Simon Riaux ""A 86 ans, le réalisateur Costa-Gavras n'a rien perdu de son énergie. En témoigne ce saisissant ""Adults in the room"", véritable thriller économique autour de la dette grecque en 2015."" Le Parisien - Pierre Vavasseur ""Dernier homme d'un cinéma engagé de gauche, Costa-Gavras s'attaque à la crise grecque en reconstituant la bataille de Varoufakis contre les instances européennes. Le résultat est pédagogique, parfois timide formellement, mais courageux et salvateur."" Les Fiches du Cinéma - Pierre-Simon Gutman ""Le film, construit comme un piège fatal, retrace la mise à mort politique d'un homme et de son peuple. Costa-Gavras réussit un tour de force : un thriller palpitant dans le huis clos des cabinets ministériels et des réunions de travail."" Télérama - Cécile Mury",Film de guerre
Aferim !,"Jude, Radu",Radu Jude ...,2148122,DVD AFE,"1835. Un policier et son fils parcourent la campagne roumaine à la recherche d'un esclave gitan accusé d'avoir séduit la femme du seigneur local. Tel un shérif d'opérette chevauchant dans les Balkans sauvages, le fonctionnaire zélé ne perd pas une occasion d'apprendre à son rejeton le sens de la vie. A grands coups d'insultes grivoises, proverbes ridicules, morale bigote, humiliations gratuites, menaces et autres noms d'oiseaux, Costandin affiche son mépris des femmes, enfants, vieillards, paysans, Juifs, Turcs, Russes et surtout, surtout, des Gitans.",Policier et espionnage
After love,"Khan, Aleem",Aleem Khan ...,2195231,DVD AFT,"Situé dans la ville côtière de Douvres au sud de l'Angleterre, ""After love"" suit Mary Hussain, qui, après le décès inattendu de son mari, découvre qu'il cachait un secret à seulement 34km de l'autre côté de la Manche, à Calais. ""Habilement scénarisé et mis en scène, le film entraîne le spectateur dans son récit ambigu et bénéficie des prestations de ses deux actrices principales : l'étonnante Joanna Scanlan (Mary) et la toujours impeccable Nathalie Richard (Geneviève), comédienne bien trop rare sur nos écrans."" Les Echos - Olivier De Bruyn ""Un premier long métrage à l'étonnante maîtrise narrative."" L'Humanité - Michaël Mélinard ""Loin de tous les stéréotypes sur la condition féminine au sein d'une communauté musulmane, ""After Love"" est d'une indéniable beauté."" aVoir-aLire.com - Laurent Cambon",Drame
Aftersun,"Wells, Charlotte (1987 - ...)",Charlotte Wells ...,2197481,DVD AFT,"Avec mélancolie, Sophie se remémore les vacances d'été passées avec son père vingt ans auparavant : les moments de joie partagée, leur complicité, parfois leurs désaccords. Elle repense aussi à ce qui planait au-dessus de ces instants si précieux : la sourde et invisible menace d'un bonheur finissant. Elle tente alors de chercher parmi ces souvenirs des réponses à la question qui l'obsède depuis tant d'années : qui était réellement cet homme qu'elle a le sentiment de ne pas connaître ?",Drame
